SRR11106246	cortex-p001-cb_174
SRR11106247	cortex-p001-cb_173
SRR11106248	cortex-p001-cb_172
SRR11106249	cortex-p001-cb_171
SRR11106253	cortex-p001-cb_168
SRR11106254	cortex-p001-cb_167
SRR11106255	cortex-p001-cb_166
SRR11106256	cortex-p001-cb_165
SRR11106257	cortex-p001-cb_164
SRR11106258	cortex-p001-cb_163
SRR11106260	cortex-p001-cb_161
SRR11106261	cortex-p001-cb_017
SRR11106262	cortex-p056-cb_276
SRR11106263	cortex-p056-cb_275
SRR11106264	cortex-p056-cb_274
SRR11106266	cortex-p056-cb_272
SRR11106267	cortex-p056-cb_271
SRR11106268	cortex-p001-cb_100
SRR11106269	cortex-p056-cb_270
SRR11106270	cortex-p056-cb_269
SRR11106271	cortex-p056-cb_268
SRR11106272	cortex-p056-cb_267
SRR11106273	cortex-p056-cb_266
SRR11106275	cortex-p056-cb_264
SRR11106276	cortex-p056-cb_263
SRR11106277	cortex-p056-cb_262
SRR11106278	cortex-p056-cb_261
SRR11106280	cortex-p056-cb_260
SRR11106281	cortex-p056-cb_259
SRR11106282	cortex-p056-cb_258
SRR11106283	cortex-p056-cb_257
SRR11106284	cortex-p056-cb_256
SRR11106285	cortex-p056-cb_255
SRR11106286	cortex-p056-cb_254
SRR11106287	cortex-p056-cb_253
SRR11106288	cortex-p056-cb_252
SRR11106289	cortex-p056-cb_251
SRR11106290	cortex-p001-cb_098
SRR11106291	cortex-p056-cb_250
SRR11106293	cortex-p056-cb_248
SRR11106294	cortex-p056-cb_131
SRR11106296	cortex-p056-cb_130
SRR11106297	cortex-p056-cb_129
SRR11106298	cortex-p056-cb_128
SRR11106301	cortex-p056-cb_125
SRR11106302	cortex-p056-cb_124
SRR11106303	cortex-p056-cb_123
SRR11106304	cortex-p056-cb_122
SRR11106305	cortex-p056-cb_121
SRR11106307	cortex-p056-cb_120
SRR11106308	cortex-p056-cb_119
SRR11106309	cortex-p056-cb_118
SRR11106310	cortex-p056-cb_117
SRR11106311	cortex-p056-cb_116
SRR11106312	cortex-p056-cb_115
SRR11106314	cortex-p056-cb_113
SRR11106315	cortex-p056-cb_112
SRR11106316	cortex-p056-cb_111
SRR11106317	cortex-p001-cb_084
SRR11106318	cortex-p056-cb_110
SRR11106319	cortex-p056-cb_109
SRR11106320	cortex-p056-cb_108
SRR11106321	cortex-p056-cb_107
SRR11106323	cortex-p056-cb_105
SRR11106324	cortex-p056-cb_104
SRR11106325	cortex-p056-cb_103
SRR11106326	cortex-p007-cb_015
SRR11106327	cortex-p007-cb_014
SRR11106330	cortex-p001-cb_004
SRR11106331	cortex-p007-cb_012
SRR11106332	cortex-p007-cb_011
SRR11106333	cortex-p007-cb_010
SRR11106334	cortex-p007-cb_009
SRR11106335	cortex-p007-cb_008
SRR11106336	cortex-p007-cb_007
SRR11106337	cortex-p007-cb_006
SRR11106338	cortex-p007-cb_005
SRR11106339	cortex-p007-cb_004
SRR11106340	cortex-p007-cb_003
SRR11106341	cortex-p001-cb_030
SRR11106342	cortex-p007-cb_002
SRR11106344	cortex-p001-cb_288
SRR11106345	cortex-p001-cb_287
SRR11106346	cortex-p001-cb_286
SRR11106347	cortex-p001-cb_285
SRR11106351	cortex-p001-cb_281
SRR11106352	cortex-p001-cb_029
SRR11106357	cortex-p001-cb_276
SRR11106358	cortex-p056-cb_247
SRR11106359	cortex-p056-cb_246
SRR11106360	cortex-p056-cb_245
SRR11106361	cortex-p056-cb_244
SRR11106363	cortex-p056-cb_242
SRR11106364	cortex-p056-cb_241
SRR11106366	cortex-p056-cb_240
SRR11106367	cortex-p056-cb_239
SRR11106368	cortex-p056-cb_238
SRR11106369	cortex-p056-cb_237
SRR11106371	cortex-p056-cb_235
SRR11106372	cortex-p056-cb_234
SRR11106373	cortex-p056-cb_233
SRR11106374	cortex-p056-cb_232
SRR11106375	cortex-p056-cb_231
SRR11106377	cortex-p056-cb_230
SRR11106378	cortex-p056-cb_229
SRR11106379	cortex-p056-cb_228
SRR11106380	cortex-p056-cb_227
SRR11106381	cortex-p056-cb_226
SRR11106382	cortex-p056-cb_225
SRR11106383	cortex-p056-cb_224
SRR11106384	cortex-p056-cb_223
SRR11106385	cortex-p056-cb_222
SRR11106386	cortex-p056-cb_221
SRR11106388	cortex-p056-cb_220
SRR11106389	cortex-p056-cb_219
SRR11106390	cortex-p001-cb_246
SRR11106391	cortex-p001-cb_245
SRR11106392	cortex-p001-cb_244
SRR11106393	cortex-p001-cb_243
SRR11106395	cortex-p001-cb_241
SRR11106396	cortex-p001-cb_025
SRR11106397	cortex-p001-cb_240
SRR11106398	cortex-p001-cb_239
SRR11106399	cortex-p001-cb_238
SRR11106400	cortex-p001-cb_237
SRR11106401	cortex-p001-cb_236
SRR11106402	cortex-p001-cb_235
SRR11106403	cortex-p001-cb_234
SRR11106404	cortex-p001-cb_233
SRR11106405	cortex-p001-cb_232
SRR11106406	cortex-p001-cb_231
SRR11106408	cortex-p001-cb_230
SRR11106410	cortex-p001-cb_228
SRR11106411	cortex-p001-cb_227
SRR11106412	cortex-p001-cb_226
SRR11106413	cortex-p001-cb_225
SRR11106414	cortex-p001-cb_224
SRR11106415	cortex-p001-cb_223
SRR11106416	cortex-p001-cb_222
SRR11106417	cortex-p001-cb_221
SRR11106418	cortex-p001-cb_023
SRR11106419	cortex-p001-cb_220
SRR11106420	cortex-p001-cb_219
SRR11106421	cortex-p001-cb_218
SRR11106422	cortex-p001-cb_160
SRR11106423	cortex-p001-cb_159
SRR11106424	cortex-p001-cb_158
SRR11106426	cortex-p001-cb_156
